product_title,url,main_accords,longevity,sillage,gender,season,daytime,description
"Choco Musk Eau de Parfum Spray for Women, 1.7 Ounce",https://www.fragrantica.com/perfume/Al-Rehab/Choco-Musk-Eau-de-Parfum-88083.html,"warm spicy, vanilla, chocolate, powdery, sweet, musky, woody, cacao, cinnamon, amber",moderate,moderate,female,"winter, fall",night,"Choco Musk Eau de Parfum Spray for Women, 1.7 Ounce, warm spicy, vanilla, chocolate, powdery, sweet, musky, woody, cacao, cinnamon, amber, moderate, moderate, female"
Marc Jacobs Perfect Women 3.3 oz EDP Spray,https://www.fragrantica.com/perfume/Marc-Jacobs/Perfect-62021.html,"green, fruity, almond, aromatic, woody, sweet, yellow floral, nutty, powdery, musky",moderate,moderate,female,"spring, summer",day,"Marc Jacobs Perfect Women 3.3 oz EDP Spray, green, fruity, almond, aromatic, woody, sweet, yellow floral, nutty, powdery, musky, moderate, moderate, female"
Valentino Valentino Donna Born In Roma EDP Spray Women 3.4 oz,https://www.fragrantica.com/perfume/Valentino/Valentino-Donna-Born-In-Roma-55805.html,"woody, vanilla, fruity, soft spicy, white floral, powdery, floral, musky, green, citrus",moderate,moderate,female,"fall, spring","day, night","Valentino Valentino Donna Born In Roma EDP Spray Women 3.4 oz, woody, vanilla, fruity, soft spicy, white floral, powdery, floral, musky, green, citrus, moderate, moderate, female"
"Al Rehab Choco Musk Eau De Parfum Spray for Women, 1.65 Ounce",https://www.fragrantica.com/perfume/Al-Rehab/Choco-Musk-Eau-de-Parfum-88083.html,"warm spicy, vanilla, chocolate, powdery, sweet, musky, woody, cacao, cinnamon, amber",moderate,moderate,female,"fall, winter","day, night","Al Rehab Choco Musk Eau De Parfum Spray for Women, 1.65 Ounce, warm spicy, vanilla, chocolate, powdery, sweet, musky, woody, cacao, cinnamon, amber, moderate, moderate, female"
"Victoria's Secret Bombshell Mini Fragrance Mist, Notes of Purple Passion Fruit, Shangri-La Peony & Vanilla Orchid, Travel Size Body Spray for Women (2.5 oz)",https://www.fragrantica.com/perfume/Victoria-s-Secret/Bombshell-10190.html,"fruity, sweet, fresh, citrus, floral, tropical, white floral",moderate,moderate,female,"summer, spring",day,"Victoria's Secret Bombshell Mini Fragrance Mist, Notes of Purple Passion Fruit, Shangri-La Peony & Vanilla Orchid, Travel Size Body Spray for Women (2.5 oz), fruity, sweet, fresh, citrus, floral, tropical, white floral, moderate, moderate, female"
"Lanc???me La Vie Est Belle Eau de Parfum - Long Lasting Fragrance with Notes of Iris, Earthy Patchouli, Warm Vanilla & Spun Sugar - Floral & Sweet Women's Perfume",https://www.fragrantica.com/perfume/Lancome/La-Vie-Est-Belle-L-Eau-de-Parfum-Intense-31181.html,"sweet, nutty, woody, vanilla, iris, white floral, fruity, lactonic, soft spicy, tuberose",eternal,strong,female,"winter, fall","night, day","Lanc???me La Vie Est Belle Eau de Parfum - Long Lasting Fragrance with Notes of Iris, Earthy Patchouli, Warm Vanilla & Spun Sugar - Floral & Sweet Women's Perfume, sweet, nutty, woody, vanilla, iris, white floral, fruity, lactonic, soft spicy, tuberose, eternal, strong, female"
"Britney Spears Women's Perfume, Fantasy, Eau De Parfum EDP Spray for Women, 3.3 Fl Oz",https://www.fragrantica.com/perfume/Britney-Spears/Fantasy-Intimate-Edition-31170.html,"vanilla, sweet, powdery, ozonic, musky, citrus, fresh, white floral, fruity, aquatic",moderate,moderate,female,"fall, winter","day, night","Britney Spears Women's Perfume, Fantasy, Eau De Parfum EDP Spray for Women, 3.3 Fl Oz, vanilla, sweet, powdery, ozonic, musky, citrus, fresh, white floral, fruity, aquatic, moderate, moderate, female"
"Pacifica Island Vanilla Hair Mist Perfume and Full Body Spray for Women - Fragrance Spray for A Mood-Lifting Experience, Paraben-Free, Clean Beauty No Alcohol, Vegan & Cruelty-Free, 6 oz oz",https://www.fragrantica.com/perfume/Pacifica/Island-Vanilla-14298.html,"vanilla, sweet, honey, powdery, fruity, floral",moderate,moderate,female,summer,day,"Pacifica Island Vanilla Hair Mist Perfume and Full Body Spray for Women - Fragrance Spray for A Mood-Lifting Experience, Paraben-Free, Clean Beauty No Alcohol, Vegan & Cruelty-Free, 6 oz oz, vanilla, sweet, honey, powdery, fruity, floral, moderate, moderate, female"
"Marc Jacobs Perfect Eau de Parfum for Women Mini Splash, 0.16 Ounce",https://www.fragrantica.com/perfume/Marc-Jacobs/Perfect-62021.html,"green, fruity, almond, aromatic, woody, sweet, yellow floral, nutty, powdery, musky",moderate,moderate,female,"spring, summer",day,"Marc Jacobs Perfect Eau de Parfum for Women Mini Splash, 0.16 Ounce, green, fruity, almond, aromatic, woody, sweet, yellow floral, nutty, powdery, musky, moderate, moderate, female"
"Lattafa Perfumes Asad for Unisex Eau de Parfum Spray, 3.4 Ounce",https://www.fragrantica.com/perfume/Lattafa-Perfumes/Asad-72821.html,"amber, fresh spicy, vanilla, woody, warm spicy, sweet, tobacco, powdery, patchouli, balsamic",long lasting,strong,male,"winter, fall",night,"Lattafa Perfumes Asad for Unisex Eau de Parfum Spray, 3.4 Ounce, amber, fresh spicy, vanilla, woody, warm spicy, sweet, tobacco, powdery, patchouli, balsamic, long lasting, strong, male"
