product_title,description,positive_rate
"Choco Musk Eau de Parfum Spray for Women, 1.7 Ounce","Choco Musk Eau de Parfum Spray for Women, 1.7 Ounce, warm spicy, vanilla, chocolate, powdery, sweet, musky, woody, cacao, cinnamon, amber, moderate, moderate, female",0.88
Marc Jacobs Perfect Women 3.3 oz EDP Spray,"Marc Jacobs Perfect Women 3.3 oz EDP Spray, green, fruity, almond, aromatic, woody, sweet, yellow floral, nutty, powdery, musky, moderate, moderate, female",0.836735
Valentino Valentino Donna Born In Roma EDP Spray Women 3.4 oz,"Valentino Valentino Donna Born In Roma EDP Spray Women 3.4 oz, woody, vanilla, fruity, soft spicy, white floral, powdery, floral, musky, green, citrus, moderate, moderate, female",0.78
"Al Rehab Choco Musk Eau De Parfum Spray for Women, 1.65 Ounce","Al Rehab Choco Musk Eau De Parfum Spray for Women, 1.65 Ounce, warm spicy, vanilla, chocolate, powdery, sweet, musky, woody, cacao, cinnamon, amber, moderate, moderate, female",0.81
"Victoria's Secret Bombshell Mini Fragrance Mist, Notes of Purple Passion Fruit, Shangri-La Peony & Vanilla Orchid, Travel Size Body Spray for Women (2.5 oz)","Victoria's Secret Bombshell Mini Fragrance Mist, Notes of Purple Passion Fruit, Shangri-La Peony & Vanilla Orchid, Travel Size Body Spray for Women (2.5 oz), fruity, sweet, fresh, citrus, floral, tropical, white floral, moderate, moderate, female",0.8
"Lanc么me La Vie Est Belle Eau de Parfum - Long Lasting Fragrance with Notes of Iris, Earthy Patchouli, Warm Vanilla & Spun Sugar - Floral & Sweet Women's Perfume","Lanc么me La Vie Est Belle Eau de Parfum - Long Lasting Fragrance with Notes of Iris, Earthy Patchouli, Warm Vanilla & Spun Sugar - Floral & Sweet Women's Perfume, sweet, nutty, woody, vanilla, iris, white floral, fruity, lactonic, soft spicy, tuberose, eternal, strong, female",0.5
"Britney Spears Women's Perfume, Fantasy, Eau De Parfum EDP Spray for Women, 3.3 Fl Oz","Britney Spears Women's Perfume, Fantasy, Eau De Parfum EDP Spray for Women, 3.3 Fl Oz, vanilla, sweet, powdery, ozonic, musky, citrus, fresh, white floral, fruity, aquatic, moderate, moderate, female",0.74
"Pacifica Island Vanilla Hair Mist Perfume and Full Body Spray for Women - Fragrance Spray for A Mood-Lifting Experience, Paraben-Free, Clean Beauty No Alcohol, Vegan & Cruelty-Free, 6 oz oz","Pacifica Island Vanilla Hair Mist Perfume and Full Body Spray for Women - Fragrance Spray for A Mood-Lifting Experience, Paraben-Free, Clean Beauty No Alcohol, Vegan & Cruelty-Free, 6 oz oz, vanilla, sweet, honey, powdery, fruity, floral, moderate, moderate, female",0.75
"Marc Jacobs Perfect Eau de Parfum for Women Mini Splash, 0.16 Ounce","Marc Jacobs Perfect Eau de Parfum for Women Mini Splash, 0.16 Ounce, green, fruity, almond, aromatic, woody, sweet, yellow floral, nutty, powdery, musky, moderate, moderate, female",0.721649
"Lattafa Perfumes Asad for Unisex Eau de Parfum Spray, 3.4 Ounce","Lattafa Perfumes Asad for Unisex Eau de Parfum Spray, 3.4 Ounce, amber, fresh spicy, vanilla, woody, warm spicy, sweet, tobacco, powdery, patchouli, balsamic, long lasting, strong, male",0.828283
"Al-Rehab Choco Musk Concentrated Perfume Rollerball for Unisex, 0.2 Ounce","Al-Rehab Choco Musk Concentrated Perfume Rollerball for Unisex, 0.2 Ounce, vanilla, warm spicy, chocolate, sweet, powdery, musky, cacao, amber, balsamic, moderate, moderate, female",0.9
"Afnan 9 PM For Men Eau De Parfum, 3.4 Fl. Oz","Afnan 9 PM For Men Eau De Parfum, 3.4 Fl. Oz, vanilla, amber, warm spicy, fruity, cinnamon, sweet, lavender, fresh, aromatic, powdery, long lasting, strong, more male",0.8
"Narciso Rodriguez BPI-007 For Her EDP Spray,3.3 Fl Oz (Pack of 1)","Narciso Rodriguez BPI-007 For Her EDP Spray,3.3 Fl Oz (Pack of 1), musky, rose, powdery, woody, patchouli, warm spicy, fruity, amber, floral, sweet, moderate, moderate, female",0.787879
Lattafa 4 Piece Set Eau De Parfum Spray for Women (3.4 Ounce Yara + 3.4 Ounce Yara Moi + 3.4 Ounce Yara Tous + 3.4 Ounce Yara Candy),"Lattafa 4 Piece Set Eau De Parfum Spray for Women (3.4 Ounce Yara + 3.4 Ounce Yara Moi + 3.4 Ounce Yara Tous + 3.4 Ounce Yara Candy), sweet, vanilla, powdery, tropical, fruity, musky, floral, citrus, moderate, moderate, female",0.8
