product_title,positive_rate
1001 Perfumes: The Guide,0.8
"10ML Bling Perfume Spray Bottle, Rhinestone Travel Refillable Perfume Atomizer Bottle Bling Portable Mini Perfume Spray Dispensers. (Silver)",0.7142857142857143
"12, Amber, 2 oz Glass Bottles, with Black Fine Mist Sprayers",0.5959595959595959
25ml Vintage Purple Butterfly Perfume Bottle Lady Essential Reusable Oil Bottle Decoration,0.6451612903225806
"2PCS Perfume Travel Refillable Bottle, Bottom-Filling Fragrances Perfume Atomizer, Empty Mini Cologne Dispenser, Portable Sprayer Pocket Size for On the Go 5ml (Black & Gray)",1.0
"2Pcs Pheromones Perfumes for Women, Ferromont Perfume for Women, Vegan Cruelty-Free Travel Perfume, Long Lasting Roll on Pheromone Perfume to Attract Men",0.625
"3 Drawers Bathroom Counter Organizer - 5 Tier Makeup Organizer, Versatile Perfume Organizer, Ideal for Bathroom Storage, Vanity, Large Skincare, Perfume, Present, Clear",0.8255813953488372
"3 Pcs Empty Perfume Spray Bottles, 50 ml/1.69 oz Glass Perfume Bottle, Transparent Perfume Atomizer, Reusable Perfume Dispenser, Thickened Perfume Container for Home Travel",1.0
"3-Tier Large Capacity Makeup Organizer Countertop with Drawer, 10"" Tall Storage Cabinet for Perfume, Cosmetic, Skincare and More, Bathroom Organizer Countertop is an Ideal Present for Her, Beige",1.0
"35 Pcs Refillable Perfume Atomizers - 0.17 oz 5 ml Mini Spray Bottles, Empty Perfume Travel Bottles with Refill Pumps, Leak-Proof Dispenser Bottles, Portable Perfume Scent Bottles for Men Women",1.0
360° Rotating Makeup Organizer for Vanity - 3 Tier Perfume Organizer with Large Capacity - Skincare Organizer for Bathroom Counter - Space-Saving Cosmetic Storage for Dresser Countertop (Clear),0.9375
"3Pcs Lunex Phero Perfume, Verola Perfume for Women, Women Pheromone Perfume, Specially Designed For Women, Portable Perfume Long Lasting Female, Roll On Perfume Phero Oil.",0.43434343434343436
"4 Tier Acrylic Perfume Organizer Stand, Clear Display Risers for Perfume, Cologne, Cosmetic, Skincare, Funko POP, Dessert Display, Cupcake Stand Holder",0.7142857142857143
4711 by Muelhens Original Eau de Cologne 13.5 fl oz (400 ml),0.83
"4pcs Mini Perfume Travel Bottle, Perfume Atomiser Refillable, 5ML Spray Bottles, Portable for Travel Holiday Women Man",0.23529411764705882
"5PCS 10ML Travel Size Perfume Refill Bottle, Travel Cologne Bottle Refillable, Mini Perfume Spray Bottles Portable Cologne Sprayer Fragrance Atomizer Traveling, Small Glass Fragrance Decanter Kit",0.9090909090909091
"5ml Perfume Atomizer Travel Refillable,Bottom-Filling Fragrances Perfumes Bottle,Mini Cologne Dispenser, Portable Sprayer Pocket Size for Women Men Cruise Car Trip Gift 0.34oz (Black & Gold & Green)",0.6666666666666666
"5ml Perfume Atomizer Travel Refillable,Mini Cologne Dispenser, Bottom-Filling Fragrances Perfumes Bottle,Portable Sprayer Pocket Size for Women Men Cruise Car Trip Gift 2pcs (black-grey)",0.9166666666666666
"5ml Perfume Atomizer Travel Refillable,Mini Cologne Dispenser, Bottom-Filling Fragrances Perfumes Bottle,Portable Sprayer Pocket Size for Women Men Cruise Car Trip Gift 3pcs (Black-Grey-Blue)",0.76
"70 Pieces Perfume Travel Refillable Atomizers Bulk Mini Atomizer Sprayer with 70 Pieces Perfume Refill Pump Dispenser Pump Transfer Tool (5 Ml,10 ml)",0.6
"8ml Travel Perfume Atomizer Refillable, 3pcs Square Cologne Bottle Refillable, Travel Size Empty Spray Bottles Perfume Atomizer,Refill Pump Case for Traveling and Outgoing",1.0
"9 Inch Acrylic Shelf for Perfume Organizer, 4 Tier Funko POP Shelves, Cologne Organizer Tiered Riser Display Stand, Acrylic Display for Decoration",0.86
A La Maison Coconut Aluminum Free Deodorant for Women and Men - Natural Deodorant,0.75
"ATAZUA Pheromone Cologne for Men, Seductive Long-Lasting Perfume for Men Attract Women, Show Your Handsome Charm, 50 ml",1.0
"ATTITUDE Baking Soda Free Deodorant for Sensitive Skin with Oatmeal and Argan Oil, EWG Verified, Aluminum Free, Plastic-Free, 3 Ounces",0.4444444444444444
"AXE Antiperspirant Deodorant for Men Phoenix 4PK 48H Sweat & Odor Protection for Long Lasting Freshness, Crushed Mint & Rosemary Men's Deodorant 2.7 oz",0.75
"Acrylic Riser,Clear Display Risers Stand Perfume Organizer Cologne Acrylic Shelves 3 Tiered Cupcake Shelf for Amiibo Funko POP Figures Food Desserts Holder Collection Cosmetic Vendor Product",0.6818181818181818
"Afnan 9 PM For Men Eau De Parfum, 3.4 Fl. Oz",0.8
"Ahura New York Herbal Rose Eau de Parfum Solid Perfume Balm for Women, Natural, No Chemicals, Alcohol-Free, Spill-Free, Travel-Friendly, Cruelty-Free, Handmade, Women's Perfume (2 oz)",0.88
"Al Haramain Oyuny 20ml Concentrated Perfume Oil for Unisex - Arabian Perfume for Women and Men - Long Lasting Floral Fragrance with Notes of Bergamot, Rose, Patchouli, Pineapple - Arabic Perfume",0.8888888888888888
"Al Rehab Choco Musk Eau De Parfum Spray for Women, 1.65 Ounce",0.81
"Al-Rehab Choco Musk Concentrated Perfume Rollerball for Unisex, 0.2 Ounce",0.9
Amber Cream 200ml,0.0
"Ard Al Zaafaran Turab Al Dhahab Eau De Parfum Spray for Women, 3.4 Ounce",0.72
Armaf Odyssey - Mandarinsky Limited Edition for Men - 3.4 oz EDP Spray,0.77
BIOSSANCE Squalane + Antioxidant Cleansing Oil,0.62
"Barrel and Oak - Aluminum-Free Deodorant, Deodorant for Men, Essential Oil-Based Scent, 24-Hour Odor Protection, Cedar & Patchouli Blend, Gentle on Sensitive Skin, No Stains (Mountain Sage, 2.7 oz)",0.2413793103448276
